Address,Neighborhood,House Type,Price,Bath,Crime Index,Minutes to Loop,Miles to Lake,Age,Lot (sqft),SIZE (sqft),School Index
"4136 N Keystone Ave #1NW, Chicago IL",Irving Park,Condo,62000,,4.75,16,5.7,.,.,.,64.3
"4000 N Kolmar Ave, Chicago IL",Irving Park,Single-Family Home,474000,2,0.7,15,6.63,.,3920,2301,64.3
"4341 N Sacramento Ave #2, Chicago IL",Irving Park,Condo,124000,,0.71,17,3.76,.,.,.,81
"4129 N Monticello Ave, Chicago IL",Irving Park,Single-Family Home,277000,1,3.28,17,4.97,87,3920,1212,36.2
"3320 W Warner Ave, Chicago IL",Irving Park,Multi-Family Home,330000,2,1.56,16,4.42,104,3049,2034,21.2
"4710 N Elston Ave #306, Chicago IL",Irving Park,Condo,165000,,0.7,16,5.96,.,.,.,33.3
"3918 N Kedzie Ave, Chicago IL",Irving Park,Multi-Family Home,300000,2,0.84,14,4.34,98,3920,2040,36.2
"4707 N Keating Ave, Chicago IL",Irving Park,Multi-Family Home,200000,2,1.7,16,6.55,85,3920,2004,33.3
"4237 N Springfield Ave, Chicago IL",Irving Park,Multi-Family Home,207000,3,5.17,17,5.33,103,4356,1760,21.2
"4343 N Francisco Ave, Chicago IL",Irving Park,Single-Family Home,230500,1,0.7,17,3.59,100,4356,1360,81
"4243 N Kedvale Ave, Chicago IL",Irving Park,Condo,121000,,4.42,15,5.73,39,.,.,64.3
"3320 N Kilbourn Ave, Chicago IL",Irving Park,Single-Family Home,91000,1,5.78,16,6.87,83,4792,1075,16.7
"3634 N Kedzie Ave, Chicago IL",Irving Park,Single-Family Home,250000,1,0.92,13,4.49,97,3485,684,16.7
"4253 N Kimball Ave, Chicago IL",Irving Park,Multi-Family Home,183000,2,1.29,15,4.48,97,3049,2118,21.2
"4423 W Leland Ave, Chicago IL",Irving Park,Single-Family Home,197000,1,1.2,16,6.09,85,3920,1100,33.3
"3214 N Kilbourn Ave #10, Chicago IL",Irving Park,Townhome,190000,2,6.28,16,6.92,.,871,1400,16.7
"4039 W Addison St, Chicago IL",Irving Park,Single-Family Home,372000,1,2.33,14,5.92,90,3049,1044,33.3
"4256 N Avers Ave, Chicago IL",Irving Park,Single-Family Home,472000,1,5.17,16,5.27,96,3920,1026,21.2
"4254 N Central Park Ave, Chicago IL",Irving Park,Single-Family Home,429000,1,3.28,17,4.85,100,3920,1698,21.2
"3914 N Mozart St, Chicago IL",Irving Park,Single-Family Home,285500,2,0.5,15,3.74,100,3049,1402,36.2
"4205 N Bernard St, Chicago IL",Irving Park,Multi-Family Home,130000,2,1.04,16,4.59,105,3049,1640,21.2
"4219 N Whipple St, Chicago IL",Irving Park,Multi-Family Home,205000,2,0.51,17,3.9,84,3049,2173,81
"3731 N Kimball Ave #37, Chicago IL",Irving Park,Multi-Family Home,775000,,0.33,13,4.74,78,.,.,16.7
"4109 N Monticello Ave, Chicago IL",Irving Park,Multi-Family Home,355000,4,3.28,17,4.98,101,3920,3982,36.2
"3900 N Christiana Ave #1, Chicago IL",Irving Park,Condo,23500,,0.86,15,4.6,.,.,.,16.7
"4128 W Byron St #302, Chicago IL",Irving Park,Condo,136000,,1.75,14,5.89,38,.,.,51.9
"3037 W Belle Plaine Ave #2, Chicago IL",Irving Park,Condo,215000,,0.51,16,4,.,.,.,81
"2828 W Addison St, Chicago IL",Irving Park,Condo,80000,,0.58,13,3.89,.,.,.,33.3
"3335 W Belle Plaine Ave #37, Chicago IL",Irving Park,Condo,175000,,1.56,16,4.47,.,.,.,21.2
"4326 N Kedvale Ave #3, Chicago IL",Irving Park,Townhome,225000,1,4.42,15,5.71,44,871,1200,64.3
"4229 N Keystone Ave, Chicago IL",Irving Park,Condo,125000,,5.42,16,5.63,39,.,.,64.3
"4033 W Patterson Ave, Chicago IL",Irving Park,Single-Family Home,260000,1,2.33,14,5.89,50,3049,909,33.3
"4341 N Kildare Ave, Chicago IL",Irving Park,Single-Family Home,260000,1,1.53,16,6,105,5227,2040,64.3
"4310 W School St, Chicago IL",Irving Park,Single-Family Home,52000,1,4.04,16,6.53,96,2614,740,16.7
"4220 W Melrose St, Chicago IL",Irving Park,Multi-Family Home,225000,2,3.88,16,6.42,83,3920,2650,16.7
"3100 W Berteau Ave #1, Chicago IL",Irving Park,Condo,163000,,0.84,16,4.02,.,.,.,81
"3621 W Byron St #3W, Chicago IL",Irving Park,Condo,229000,,1.92,15,5.08,.,.,.,36.2
"3722 N Kostner Ave, Chicago IL",Irving Park,Multi-Family Home,261000,2,1.5,16,6.54,94,3920,2494,22.2
"4118 N Kilbourn Ave, Chicago IL",Irving Park,Single-Family Home,240000,1,0.7,15,6.5,85,3049,1110,64.3
"3706 N Francisco Ave, Chicago IL",Irving Park,Single-Family Home,199000,1,0.25,14,3.94,105,3049,902,33.3
"4127 N Keeler Ave, Chicago IL",Irving Park,Condo,137500,,2.75,14,5.9,39,.,.,64.3
"4557 N Lowell Ave, Chicago IL",Irving Park,Single-Family Home,166000,1,0.7,17,5.99,90,4356,1764,33.3
"4428 N Tripp Ave, Chicago IL",Irving Park,Multi-Family Home,290000,2,2.58,16,5.88,46,5227,2006,33.3
"4239 N Keystone Ave #1S, Chicago IL",Irving Park,Condo,264500,,5.42,16,5.62,.,.,.,64.3
"4431 N Keokuk Ave, Chicago IL",Irving Park,Single-Family Home,198000,1,3.42,15,5.75,39,3049,1086,33.3
"3640 N Kedzie Ave, Chicago IL",Irving Park,Single-Family Home,200000,1,0.92,13,4.48,97,3485,1128,16.7
"3450 N Kildare Ave, Chicago IL",Irving Park,Single-Family Home,150000,2,2.88,17,6.46,100,3049,1315,22.2
"3655 N Kimball Ave, Chicago IL",Irving Park,Multi-Family Home,115000,2,2.25,13,4.79,96,3920,2200,16.7
"4157 N Whipple St, Chicago IL",Irving Park,Multi-Family Home,153000,2,0.51,16,3.94,95,3049,2566,81
"3914 N Kenneth Ave, Chicago IL",Irving Park,Single-Family Home,573000,2,1,14,6.51,110,4356,1791,22.2
"3337 W Belle Plaine Ave #1G, Chicago IL",Irving Park,Condo,137000,,1.56,16,4.48,.,.,.,21.2
"4200 N Francisco Ave, Chicago IL",Irving Park,Multi-Family Home,429000,3,0.5,17,3.68,89,3485,3717,81
"4125 W Henderson St, Chicago IL",Irving Park,Multi-Family Home,152500,2,3.93,16,6.2,90,3920,1744,16.7
"3637 N Spaulding Ave #205, Chicago IL",Irving Park,,248000,,1,14,4.61,.,.,.,16.7
"4115 W School St, Chicago IL",Irving Park,Multi-Family Home,255000,2,4.13,17,6.22,94,3485,1760,16.7
"2840 W Addison St #1S, Chicago IL",Irving Park,Condo,147500,,0.58,13,3.91,.,.,.,33.3
"3337 W Belle Plaine Ave #2C, Chicago IL",Irving Park,Condo,190000,,1.56,16,4.48,.,.,.,21.2
"4330 N Kenneth Ave, Chicago IL",Irving Park,Multi-Family Home,368000,2,0.7,15,6.31,110,3049,1142,33.3
"4011 N Francisco Ave #407, Chicago IL",Irving Park,Condo,268000,,0.5,16,3.76,.,.,.,81
"3933 N Mozart St, Chicago IL",Irving Park,Multi-Family Home,618000,2,0.5,15,3.71,95,3920,2108,36.2
"4332 N Keystone Ave, Chicago IL",Irving Park,Condo,65000,,5.42,16,5.6,44,.,.,64.3
"4221 N Hamlin Ave, Chicago IL",Irving Park,Multi-Family Home,145000,2,5.17,17,5.18,112,3049,1832,21.2
"4016 N Albany Ave #2, Chicago IL",Irving Park,Condo,130000,,0.51,17,4.12,.,.,.,36.2
"4132 W Roscoe St, Chicago IL",Irving Park,Multi-Family Home,250000,2,2.88,16,6.22,36,2614,1836,16.7
"4206 N California Ave, Chicago IL",Irving Park,Condo,109000,,0.5,15,3.51,.,.,.,81
"4443 N Kildare Ave, Chicago IL",Irving Park,Single-Family Home,340000,2,2.03,17,5.94,105,7841,1792,33.3
"3522 N Kildare Ave, Chicago IL",Irving Park,Multi-Family Home,135000,2,2.68,16,6.42,94,3485,1772,22.2
"3818 N Sacramento Ave, Chicago IL",Irving Park,Multi-Family Home,285000,2,0.5,15,4.05,120,3049,1738,36.2
"4241 N Kimball Ave #3, Chicago IL",Irving Park,Condo,173000,,1.29,15,4.48,.,.,.,21.2
"4455 N Kilbourn Ave, Chicago IL",Irving Park,Single-Family Home,275000,1,2.2,16,6.34,120,7841,713,33.3
"4202 N Sawyer Ave #3N, Chicago IL",Irving Park,Condo,190000,,1.54,17,4.27,.,.,.,21.2
"4116 N Keeler Ave, Chicago IL",Irving Park,Multi-Family Home,240000,5,2.25,13,5.93,120,7841,2804,64.3
"3900 N Christiana Ave #3, Chicago IL",Irving Park,Condo,55000,,0.86,15,4.6,.,.,.,16.7
"4215 N Keystone Ave, Chicago IL",Irving Park,Condo,138000,,5.42,16,5.63,41,.,.,64.3
"4337 N Kedvale Ave #2W, Chicago IL",Irving Park,Condo,121500,,4.42,16,5.68,41,.,.,64.3
"4742 N Elston Ave #301, Chicago IL",Irving Park,Condo,195000,,0.7,16,5.97,.,.,.,33.3
"4252 N Mozart St #3N, Chicago IL",Irving Park,Condo,315000,,0.5,16,3.58,.,.,.,81
"3934 N Monticello Ave #38, Chicago IL",Irving Park,Condo,260000,,1.92,15,5.1,.,.,.,36.2
"3901 N Mozart St #3, Chicago IL",Irving Park,Condo,300000,,0.5,15,3.73,.,.,.,33.3
"3319 N Kenneth Ave, Chicago IL",Irving Park,Multi-Family Home,225000,2,5.15,17,6.76,83,3485,2172,16.7
"3416 N Lowell Ave, Chicago IL",Irving Park,Single-Family Home,315000,2,2.88,16,6.56,85,5663,1250,16.7
"4028 W Grace St, Chicago IL",Irving Park,Single-Family Home,369000,1,1,14,5.78,105,4356,1775,51.9
"4316 N Richmond St, Chicago IL",Irving Park,Single-Family Home,469000,1,0.71,17,3.71,86,3920,1094,81
"3737 N Kimball Ave, Chicago IL",Irving Park,Single-Family Home,88000,1,0.33,13,4.74,85,2614,1012,16.7
"4141 N Lawndale Ave, Chicago IL",Irving Park,Multi-Family Home,190000,2,3.45,16,5.05,105,3049,1817,21.2
"4343 N Kedvale Ave #3E, Chicago IL",Irving Park,Condo,127000,,4.42,16,5.68,41,.,.,64.3
"3939 W Montrose Ave, Chicago IL",Irving Park,Condo,525000,,6.67,16,5.38,36,.,.,21.2
"4212 N Bernard St, Chicago IL",Irving Park,Multi-Family Home,150000,3,1.04,16,4.61,82,3049,4479,21.2
"3558 W Belle Plaine Ave #2, Chicago IL",Irving Park,Condo,157000,,0.92,16,4.86,.,.,.,21.2
"3335 W Belle Plaine Ave #1B, Chicago IL",Irving Park,Condo,200000,,1.56,16,4.47,.,.,.,21.2
"4031 N Francisco Ave, Chicago IL",Irving Park,Single-Family Home,112500,1,0.5,16,3.75,105,5663,1226,81
"3116 W Cullom Ave #2, Chicago IL",Irving Park,Condo,143000,,1.74,17,4,.,.,.,37.5
"3927 N Sawyer Ave, Chicago IL",Irving Park,Multi-Family Home,500000,2,0.84,15,4.39,96,3920,2156,36.2
"4136 N Kedvale Ave, Chicago IL",Irving Park,Townhome,210000,1,3.75,15,5.81,45,1307,1237,64.3
"4141 N Albany Ave, Chicago IL",Irving Park,Single-Family Home,80000,1,0.51,17,4.03,103,3049,676,81
"3900 N Christiana Ave #2, Chicago IL",Irving Park,Condo,52000,,0.86,15,4.6,.,.,.,16.7
"3311 N Kostner Ave, Chicago IL",Irving Park,Multi-Family Home,70000,2,5.48,16,6.67,94,3485,1748,16.7
"3454 N Kilbourn Ave, Chicago IL",Irving Park,Single-Family Home,75000,2,4.65,16,6.8,100,3049,770,22.2
"4241 N Kimball Ave #G, Chicago IL",Irving Park,Condo,46000,,1.29,15,4.48,.,.,.,21.2
"3223 N Kenneth Ave, Chicago IL",Irving Park,Multi-Family Home,268000,2,5.65,16,6.81,85,3485,2396,16.7
"4750 N Elston Ave #304D, Chicago IL",Irving Park,Condo,200000,,1.2,16,5.99,.,.,.,33.3
"3663 W Belle Plaine Ave, Chicago IL",Irving Park,Single-Family Home,170000,1,1.92,16,5.06,112,3049,1041,36.2
"4702 N Kilpatrick Ave, Chicago IL",Irving Park,Single-Family Home,409000,2,1.7,15,6.49,105,6534,1728,33.3
"3805 N Kilbourn Ave, Chicago IL",Irving Park,Single-Family Home,222000,1,1.2,16,6.65,86,2614,1050,22.2
"3939 N Kimball Ave, Chicago IL",Irving Park,Multi-Family Home,185500,3,0.86,14,4.64,.,3920,2436,16.7
"4301 N Troy St #9, Chicago IL",Irving Park,Condo,155500,,1.74,17,4.03,.,.,.,37.5
"3823 N Spaulding Ave, Chicago IL",Irving Park,Multi-Family Home,382500,2,0.92,14,4.53,85,3920,2322,16.7
"3855 N Spaulding Ave, Chicago IL",Irving Park,Multi-Family Home,205000,2,0.92,15,4.52,95,3920,2382,16.7
"4131 N Sacramento Ave, Chicago IL",Irving Park,Single-Family Home,243000,1,0.51,16,3.86,86,4356,1089,81
"3505 N Kildare Ave, Chicago IL",Irving Park,Single-Family Home,300000,1,2.68,16,6.4,87,3920,1342,22.2
"4319 N Mozart St #1S, Chicago IL",Irving Park,Condo,345000,,0.7,17,3.51,.,.,.,81
"4485 N Keokuk Ave, Chicago IL",Irving Park,Single-Family Home,175000,1,4.33,16,5.84,85,3049,905,33.3
"4022 N Monticello Ave #G, Chicago IL",Irving Park,Condo,160000,,1.92,16,5.05,.,.,.,36.2
"3301 W Cuyler Ave #2, Chicago IL",Irving Park,Condo,209000,,1.02,16,4.45,.,.,.,16.7
"4047 N Kimball Ave #12, Chicago IL",Irving Park,Condo,198500,,1.02,15,4.58,.,.,.,21.2
"3300 W Irving Park Rd #H3, Chicago IL",Irving Park,Condo,250000,,0.93,15,4.46,.,.,.,16.7
"3300 W Irving Park Rd #16, Chicago IL",Irving Park,Condo,250000,,0.93,15,4.46,.,.,.,16.7
"4622 N Lowell Ave, Chicago IL",Irving Park,Single-Family Home,175000,1,0.7,17,5.97,95,4356,1176,33.3
"3017 W Cullom Ave, Chicago IL",Irving Park,Condo,172000,,0.71,17,3.84,.,.,.,81
"3801 N Kedzie Ave #3N, Chicago IL",Irving Park,Condo,173000,,0.83,13,4.38,.,.,.,16.7
"4149 N Tripp Ave #3, Chicago IL",Irving Park,Condo,102500,,2.25,15,5.98,.,.,.,64.3
"4207 N Kedvale Ave #2D, Chicago IL",Irving Park,Condo,139500,,4.42,15,5.75,.,.,.,64.3
"4307 N Troy St #2, Chicago IL",Irving Park,Condo,174500,,1.74,17,4.03,.,.,.,37.5
"4231 N Albany Ave, Chicago IL",Irving Park,Single-Family Home,575000,3,0.51,17,3.98,102,3049,2453,81
"4018 N Francisco Ave, Chicago IL",Irving Park,Single-Family Home,346000,1,0.5,16,3.78,47,3049,480,81
"3733 N Saint Louis Ave #1R, Chicago IL",Irving Park,Condo,43000,,1.33,,4.92,.,.,.,40
"4342 W Belmont Ave, Chicago IL",Irving Park,Multi-Family Home,125000,3,4.38,15,6.67,105,3049,3142,16.7
"3705 N Richmond St, Chicago IL",Irving Park,Single-Family Home,144000,1,0.25,15,4,105,3049,1092,33.3
"3649 N Whipple St #G, Chicago IL",Irving Park,Condo,50550,,0.92,14,4.2,.,.,.,36.2
"3120 W Addison St, Chicago IL",Irving Park,Multi-Family Home,312000,2,1.25,13,4.38,86,3485,2316,36.2
"3308 N Karlov Ave, Chicago IL",Irving Park,Multi-Family Home,192500,2,2.93,16,6.19,108,4356,1832,16.7
"4246 N Spaulding Ave #52, Chicago IL",Irving Park,Condo,199000,,1.74,17,4.33,.,.,.,21.2
"3716 N Sawyer Ave, Chicago IL",Irving Park,Multi-Family Home,260000,2,0.25,14,4.53,85,3920,2438,16.7
"4317 N Harding Ave, Chicago IL",Irving Park,Single-Family Home,333500,1,6.67,16,5.38,100,4356,663,21.2
"4240 N Kimball Ave, Chicago IL",Irving Park,Multi-Family Home,90000,2,1.56,15,4.5,110,3049,1682,21.2
"3642 N California Ave, Chicago IL",Irving Park,Condo,173500,,0.25,13,3.81,.,.,.,33.3
"3037 W Montrose Ave #1A, Chicago IL",Irving Park,Condo,51500,,1.46,17,3.85,.,.,.,37.5
"4328 N Central Park Ave, Chicago IL",Irving Park,Single-Family Home,110000,1,5.28,17,4.81,98,3920,1283,21.2
"3003 W Montrose Ave, Chicago IL",Irving Park,Condo,211000,,1.46,16,3.76,.,.,.,37.5
"4435 N Lowell Ave, Chicago IL",Irving Park,Multi-Family Home,215000,2,1.2,16,6.05,95,3920,2292,33.3
"3615 N Whipple St, Chicago IL",Irving Park,Multi-Family Home,366000,2,0.92,14,4.21,94,3920,2576,33.3
"3445 N Kenton Ave, Chicago IL",Irving Park,Single-Family Home,63000,1,3.15,16,6.95,100,3049,600,38.9
"3922 N Monticello Ave, Chicago IL",Irving Park,Multi-Family Home,465000,3,1.92,15,5.1,90,5227,3056,36.2
"3054 W Addison St #1, Chicago IL",Irving Park,Condo,300000,,1.25,13,4.26,.,.,.,36.2
"4625 W Lawrence Ave #303, Chicago IL",Irving Park,Condo,173000,,1.7,16,6.34,.,.,.,36.2
"3703 N Kildare Ave, Chicago IL",Irving Park,Single-Family Home,806000,2,0,15,6.33,115,3920,2072,22.2
"3821 N Milwaukee Ave #D, Chicago IL",Irving Park,Townhome,318000,2,1.2,15,6.77,.,1307,1148,22.2
"4235 N Central Park Ave, Chicago IL",Irving Park,Single-Family Home,55000,1,3.28,16,4.83,111,3049,400,21.2
"3621 W Byron St #4D, Chicago IL",Irving Park,Condo,182500,,1.92,15,5.08,.,.,.,36.2
"3721 N Elston Ave #1S, Chicago IL",Irving Park,Condo,165000,,2,13,4.72,.,.,.,16.7
"4157 W Eddy St, Chicago IL",Irving Park,Multi-Family Home,71000,2,2.48,15,6.16,105,2614,1820,33.3
"4016 W Roscoe St, Chicago IL",Irving Park,Single-Family Home,140000,1,2.68,16,5.97,87,3485,904,16.7
"4447 W Hutchinson St, Chicago IL",Irving Park,Single-Family Home,567500,2,0.7,15,6.41,.,4792,2680,64.3
"3351 N Kedvale Ave, Chicago IL",Irving Park,Single-Family Home,260000,1,2.88,15,6.2,.,2614,1210,16.7
"3827 N Milwaukee Ave #B, Chicago IL",Irving Park,Townhome,327000,2,1.2,15,6.77,.,1307,1305,22.2
"3049 W Grace St #1, Chicago IL",Irving Park,Condo,203000,,0.25,15,4.17,.,.,.,36.2
"4430 N Kenneth Ave, Chicago IL",Irving Park,Condo,174500,,1.2,16,6.27,.,.,.,33.3
"3755 N Sacramento Ave, Chicago IL",Irving Park,Multi-Family Home,250000,2,0.25,15,4.06,83,3920,2060,36.2
"4149 N Albany Ave, Chicago IL",Irving Park,Multi-Family Home,105000,2,0.51,17,4.03,105,3049,1629,81
"4040 N Mozart St #1, Chicago IL",Irving Park,Condo,375000,,0.5,16,3.68,.,.,.,81
"4304 W Belle Plaine Ave, Chicago IL",Irving Park,Single-Family Home,295000,1,0.5,14,6.15,105,3485,880,64.3
"4122 N Sacramento Ave, Chicago IL",Irving Park,Single-Family Home,375000,1,0.51,16,3.89,105,6098,758,81
"3652 W Belle Plaine Ave, Chicago IL",Irving Park,Condo,120000,,1.92,16,5.03,.,.,.,36.2
"3623 N Harding Ave, Chicago IL",Irving Park,Single-Family Home,175000,1,0.33,14,5.73,96,5227,2020,33.3
"4014 N Central Park Ave #4022, Chicago IL",Irving Park,Multi-Family Home,170000,,1.92,15,4.97,83,.,.,36.2
"2942 W Belle Plaine Ave #2E, Chicago IL",Irving Park,Condo,205000,,0.51,16,3.83,.,.,.,81
"3300 W Irving Park Rd #I2, Chicago IL",Irving Park,Condo,234000,,0.93,15,4.46,.,.,.,16.7
"3300 W Irving Park Rd #45, Chicago IL",Irving Park,Condo,234000,,0.93,15,4.46,.,.,.,16.7
"4134 N Drake Ave, Chicago IL",Irving Park,Single-Family Home,255000,2,2.28,17,4.83,105,3049,1362,21.2
"4457 N Kenneth Ave, Chicago IL",Irving Park,Single-Family Home,309000,1,1.2,16,6.24,98,6098,1400,33.3
"3831 N Christiana Ave, Chicago IL",Irving Park,Single-Family Home,310000,1,0.67,15,4.61,108,3049,800,16.7
"4030 N Mozart St #34, Chicago IL",Irving Park,Multi-Family Home,185000,6,0.5,16,3.69,47,3049,4216,81
"5255 N Moody Ave, Chicago IL",Jefferson Park,Single-Family Home,248500,1,0.45,18,8.72,50,4356,.,27.3
"6019 N Marmora Ave, Chicago IL",Jefferson Park,Single-Family Home,292000,2,0.55,21,7.82,67,3920,1528,33.3
"5927 N Elston Ave, Chicago IL",Jefferson Park,Single-Family Home,370000,1,1.87,19,7.91,95,5663,1048,33.3
"5249 N Leamington Ave, Chicago IL",Jefferson Park,Single-Family Home,120000,1,0,17,6.95,91,5663,660,71.4
"5048 N Mobile Ave, Chicago IL",Jefferson Park,Single-Family Home,150000,1,0.45,19,9.08,61,4792,1197,16.7
"4955 N Mango Ave, Chicago IL",Jefferson Park,Condo,71500,,1.14,17,8.18,31,.,.,33.3
"5044 W Argyle St, Chicago IL",Jefferson Park,Single-Family Home,364000,1,0.5,17,6.91,95,4792,1330,71.4
"5328 W Argyle St, Chicago IL",Jefferson Park,Single-Family Home,560000,2,1.2,17,7.41,.,3049,2511,71.4
"5008 W Lawrence Ave #12, Chicago IL",Jefferson Park,Condo,374000,,0.64,16,6.97,.,.,.,71.4
"5643 N Mason Ave, Chicago IL",Jefferson Park,Single-Family Home,242500,1,1.92,19,8.13,86,3049,1935,27.3
"6320 W Higgins Ave #204, Chicago IL",Jefferson Park,Condo,200000,,0.53,18,9.03,16,.,.,16.7
"5252 W Winona St, Chicago IL",Jefferson Park,Single-Family Home,151000,1,1.2,18,7.19,54,4792,1368,71.4
"5820 W Gunnison St, Chicago IL",Jefferson Park,Single-Family Home,179500,2,0.14,17,8.38,.,3049,1172,33.3
"5501 W Farragut Ave, Chicago IL",Jefferson Park,Multi-Family Home,300000,2,1.34,19,7.6,87,3485,1672,33.3
"6043 N Marmora Ave, Chicago IL",Jefferson Park,Single-Family Home,367000,1,0.55,21,7.8,74,3920,1473,33.3
"5851 W Ainslie St, Chicago IL",Jefferson Park,Single-Family Home,223000,1,0.14,18,8.36,79,3920,1484,33.3
"5448 N Luna Ave, Chicago IL",Jefferson Park,Multi-Family Home,226000,2,1.48,18,7.59,87,3920,1760,27.3
"4837 N Central Ave #1, Chicago IL",Jefferson Park,Condo,120000,,1.87,16,7.94,.,.,.,52.8
"4837 N Central Ave #201, Chicago IL",Jefferson Park,Condo,120000,,1.87,16,7.94,.,.,.,52.8
"5705 N Major Ave, Chicago IL",Jefferson Park,Single-Family Home,89500,1,1.67,19,7.67,82,3485,1290,27.3
"5807 N Marmora Ave, Chicago IL",Jefferson Park,Multi-Family Home,210000,2,1.67,20,7.89,81,3485,2250,33.3
"5432 N Luna Ave, Chicago IL",Jefferson Park,Multi-Family Home,240000,2,1.48,18,7.6,86,4792,1840,27.3
"4944 N Merrimac Ave, Chicago IL",Jefferson Park,Single-Family Home,420000,1,1.06,19,9.05,81,3920,956,33.3
"4815 N Mulligan Ave, Chicago IL",Jefferson Park,Single-Family Home,267500,1,0.84,19,9.27,63,4792,1650,33.3
"5704 N Major Ave, Chicago IL",Jefferson Park,Single-Family Home,220000,1,1.67,19,7.69,68,3920,1573,27.3
"4859 N Austin Ave, Chicago IL",Jefferson Park,Single-Family Home,250000,1,0.84,17,8.67,67,4792,1124,33.3
"5020 N Austin Ave, Chicago IL",Jefferson Park,Condo,145000,,0.45,17,8.59,36,.,.,33.3
"5141 W Winona St, Chicago IL",Jefferson Park,Single-Family Home,430000,1,0,17,7.01,85,3485,1032,71.4
"5534 N Linder Ave, Chicago IL",Jefferson Park,Single-Family Home,265500,1,1.48,18,7.45,83,3920,1010,27.3
"5423 N Mobile Ave, Chicago IL",Jefferson Park,Single-Family Home,248000,1,0.45,18,8.83,52,3920,1056,30.6
"5058 W Ainslie St, Chicago IL",Jefferson Park,Single-Family Home,190000,1,0.5,16,6.98,46,3485,924,71.4
"5135 W Strong St, Chicago IL",Jefferson Park,Single-Family Home,230000,1,0,16,7.1,45,3049,931,71.4
"5636 N Parkside Ave, Chicago IL",Jefferson Park,Multi-Family Home,240000,2,1.67,19,7.65,85,3920,1884,27.3
"5429 N Parkside Ave, Chicago IL",Jefferson Park,Single-Family Home,175000,1,.,18,7.75,82,3049,858,27.3
"5478 N Menard Ave, Chicago IL",Jefferson Park,Single-Family Home,185000,1,1.33,18,8,86,3920,1272,27.3
"5868 N Manton Ave, Chicago IL",Jefferson Park,Single-Family Home,260000,1,1.79,20,7.64,84,3920,888,33.3
"5054 W Ainslie St, Chicago IL",Jefferson Park,Multi-Family Home,280000,2,0.5,16,6.98,85,3920,2348,71.4
"5212 N Ludlam Ave, Chicago IL",Jefferson Park,Multi-Family Home,269000,2,0.39,19,7.56,83,3920,1920,33.3
"4909 N Meade Ave, Chicago IL",Jefferson Park,Single-Family Home,345000,1,0.95,19,8.8,80,3920,920,33.3
"5323 N Ludlam Ave, Chicago IL",Jefferson Park,Single-Family Home,205500,1,0.2,18,7.37,82,3920,1012,33.3
"5512 N Luna Ave, Chicago IL",Jefferson Park,Multi-Family Home,207000,2,1.81,19,7.55,81,3920,2052,27.3
"5127 N Marmora Ave, Chicago IL",Jefferson Park,Single-Family Home,380000,1,0.45,16,8.34,56,3920,1647,33.3
"5312 W Carmen Ave, Chicago IL",Jefferson Park,Multi-Family Home,206000,1,1.2,17,7.33,84,3920,2016,71.4
"5416 N Luna Ave, Chicago IL",Jefferson Park,Single-Family Home,240000,1,1.48,18,7.61,54,4792,1040,27.3
"5328 N Melvina Ave, Chicago IL",Jefferson Park,Single-Family Home,315500,1,0.32,18,8.79,55,4356,1407,27.3
"5445 N Lotus Ave, Chicago IL",Jefferson Park,Single-Family Home,260000,2,1,19,7.4,81,3920,1260,27.3
"5622 W Goodman St #1N, Chicago IL",Jefferson Park,Condo,51000,,1.34,17,7.84,.,.,.,33.3
"5702 N Manton Ave, Chicago IL",Jefferson Park,Single-Family Home,210000,1,1.92,19,7.48,46,3920,1080,27.3
"5027 W Argyle St, Chicago IL",Jefferson Park,Single-Family Home,242000,2,0.5,17,6.9,105,5663,1784,71.4
"5243 W Winona St, Chicago IL",Jefferson Park,Single-Family Home,275000,1,1.2,17,7.19,110,3049,1200,71.4
"5335 N Laramie Ave, Chicago IL",Jefferson Park,Single-Family Home,150000,1,0.2,17,6.99,84,4356,1515,33.3
"5206 W Carmen Ave, Chicago IL",Jefferson Park,Single-Family Home,120000,2,1.2,17,7.15,95,3485,1386,71.4
"5150 N Lovejoy Ave, Chicago IL",Jefferson Park,Single-Family Home,309000,1,1.2,17,7.62,92,3920,880,33.3
"4850 N Merrimac Ave, Chicago IL",Jefferson Park,Single-Family Home,165000,1,0.84,19,9.11,82,3485,1870,33.3
"5620 N Luna Ave, Chicago IL",Jefferson Park,Single-Family Home,247000,1,1.67,18,7.49,53,3920,1070,27.3
"5898 N Elston Ave, Chicago IL",Jefferson Park,Single-Family Home,265000,2,1.67,19,7.91,85,3920,1730,33.3
"4928 N Menard Ave, Chicago IL",Jefferson Park,Single-Family Home,232000,1,0,18,8.32,66,3485,1432,33.3
"5348 N Melvina Ave, Chicago IL",Jefferson Park,Single-Family Home,223000,1,0.32,18,8.78,57,4356,906,27.3
"5300 N Austin Ave, Chicago IL",Jefferson Park,Multi-Family Home,266000,3,0.58,17,8.42,83,4792,2976,27.3
"5701 W Ainslie St, Chicago IL",Jefferson Park,Single-Family Home,185000,1,1,17,8.14,85,3920,1374,33.3
"5017 W Gunnison St, Chicago IL",Jefferson Park,Multi-Family Home,215000,2,0.5,17,6.96,94,4356,1512,71.4
"5226 N Latrobe Ave, Chicago IL",Jefferson Park,Single-Family Home,246000,1,0.2,17,7.16,84,3920,1014,33.3
